"x" "y" "DBH"
"1" -150.705374404788 331.805526837707 27.4
"2" 256.174669414759 316.521487571299 39.1
"3" -173.118229210377 -234.912906587124 37.1
"4" 381.207560561597 -108.123420923948 39.9
"5" 301.042164489627 -324.907619319856 31.8
"6" -46.0003308951855 -378.150891885161 34.8
"7" -220.555243454874 56.3446763902903 39.7
"8" -78.0022503808141 249.937638826668 41.6
"9" -24.8538829386234 332.674976065755 39.7
"10" -214.058963023126 -76.4124015346169 32.9
"11" -305.831179022789 7.74041544646025 31.8
"12" -378.196025826037 -106.886132061481 35.9
"13" 11.6183146834373 -315.655403397977 34.3
"14" -288.634219951928 238.097009435296 43.8
"15" 13.4507931768894 -268.136714398861 44.7
"16" -349.79771245271 -122.649977356195 28.9
"17" 6.24132826924324 105.40331825614 36.4
"18" 0.363394990563393 -139.764899760485 32.9
"19" -43.8498340547085 83.2385642454028 39.7
"20" 358.304861187935 144.33061555028 37.1
"21" 31.0113057494164 -154.698312468827 32.4
"22" -251.912494190037 -353.299184143543 37.3
"23" 307.774136774242 320.030127465725 28.3
"24" -311.015120521188 -46.3669368997216 30.1
"25" -62.9942001774907 68.4382133185863 31.1
"26" -79.1297690942883 102.16606836766 43.8
"27" 237.668059580028 -210.465069115162 35.9
"28" 336.393474042416 -122.901963442564 31.4
"29" 391.901883482933 44.8463821783662 34.3
"30" -111.51086743921 -140.264720283449 37.7
"31" -42.0916361734271 225.801146030426 35.9
"32" -340.968457609415 -104.009569808841 34.1
"33" 344.875969365239 -275.522911176085 31.2
"34" -130.011297948658 279.730676487088 40.8
"35" -314.574164710939 -94.0156215801835 31.1
"36" -101.225477084517 -302.071489952505 35.6
"37" -153.44658754766 95.9096152335405 31.2
"38" 122.645189426839 -19.4774309173226 27.4
"39" -63.427272811532 -96.5012768283486 41.8
"40" -289.964444190264 221.015406213701 33.1
"41" -279.710726998746 220.625702477992 32.9
"42" 176.891463436186 112.354579567909 32.4
"43" 195.741157978773 347.867793217301 27.6
"44" 233.324640803039 -194.945937022567 39.9
"45" -55.2770541980863 308.534116484225 39.9
"46" 177.829329669476 260.493472404778 40.8
"47" 299.890612997115 231.978105939925 27.4
"48" -155.302004516125 -293.013474158943 30.3
"49" -111.141741275787 290.382536314428 35.2
"50" 110.748959332705 56.0730813071132 30.1
"51" -395.082179829478 -44.1300798207521 31.2
"52" -208.604998327792 98.9544179290533 39.6
"53" 161.233263649046 379.511876404285 28.9
"54" -141.922258585691 -196.239394135773 34.3
"55" -333.78995731473 -321.555292792618 35.2
"56" 175.628107599914 -321.936772577465 44.7
"57" -288.420197367668 -6.21723029762506 41.8
"58" -341.896545700729 -93.8463918864727 30.3
"59" -243.390372395515 396.615391969681 34.3
"60" 365.156282484531 122.126317583025 33.1
"61" 273.921645246446 344.912325032055 32.3
"62" -359.231576323509 110.55268086493 30.5
"63" 71.5780228376389 -362.648845650256 39.6
"64" -276.269345730543 223.862483538687 41.7
"65" -372.383030131459 41.5600826963782 27.6
"66" -321.545521914959 48.3445780351758 44.7
"67" -108.261976204813 82.6611824333668 30.5
"68" 250.8823832497 -359.360760077834 32.3
"69" 334.069736115634 -250.505183450878 39.9
"70" -57.3487745597959 26.3466386124492 40.8
"71" -207.544324547052 308.561229705811 31.2
"72" -183.185247331858 -373.782445676625 28.9
"73" -125.543520972133 -66.5987875312567 35.8
"74" -228.248888812959 -12.9657508805394 31.8
"75" -251.968359947205 -235.29307320714 41.7
"76" -1.5081973746419 -118.74544210732 34.6
"77" -91.8858624994755 -239.540243707597 39.8
"78" 72.5379724055529 -78.893980756402 35.6
"79" 332.098711282015 333.087019436061 30.1
"80" 349.57035984844 -339.438666030765 40.8
"81" -320.589298382401 -88.4835198521614 43.8
"82" 310.799827985466 -61.1112706363201 39.1
"83" -49.445123411715 -121.453212760389 28.9
"84" 325.277097709477 386.854909360409 34.6
"85" 250.33092405647 156.853155232966 28.9
"86" 332.447458617389 -220.341144129634 43.8
"87" 184.766317717731 -255.64282387495 44.7
"88" -231.846467405558 155.120499432087 30.3
"89" 224.888394586742 82.5561873614788 40.4
"90" -211.116237565875 265.759610570967 35.9
"91" -365.935482643545 28.767498396337 33.1
"92" -283.913039416075 392.059448175132 28.9
"93" 53.6592718213797 -202.939033694565 52.2
"94" 36.1556800082326 57.8535027801991 34.1
"95" -91.7110491544008 317.856321111321 34.8
"96" 212.102209962904 15.9796556457877 38.5
"97" 141.945898346603 -18.2700634002686 30.1
"98" 76.5890909358859 -269.388399831951 35.8
"99" 158.735238388181 -61.2868789583445 44.7
"100" 326.074190437794 399.451364576817 35.9
"101" 39.7083066403866 -2.9527036473155 31.8
"102" -248.178317397833 -91.7427770793438 39.6
"103" 302.569110505283 1.45634282380342 34.8
"104" 75.5778238177299 177.721919678152 31.8
"105" 390.743196755648 182.454702630639 27.4
"106" 58.6651051416993 -30.4493926465511 30.3
"107" 43.1049160659313 309.477572701871 37.3
