"x" "y" "DBH"
-254.902202449739 -66.14178288728 27.7
356.220832467079 66.1344718188047 31.4
81.8723207339644 144.609265588224 41.8
-199.888312257826 67.3094408586621 30.3
309.828068502247 194.111981801689 37.1
45.0909998267889 -112.543077766895 28.9
95.8837894722819 -90.4350694268942 30.1
-295.237009786069 -4.25213202834129 33
-398.354400321841 58.4551755338907 36.4
218.365962617099 150.787986069918 30.1
-202.961753122509 348.083274252713 29.9
305.081417411566 274.989571981132 31.1
180.391814932227 -376.69487092644 43.8
82.150598987937 -143.934370204806 40.8
11.562804505229 -181.580831110477 41.8
-131.549944542348 166.492419689894 37.7
120.943030528724 132.516371831298 36.4
90.8963207155466 221.995940990746 41.8
-305.689928866923 297.884056530893 29.2
222.349968925118 -377.274243719876 28.9
-366.366112604737 -110.030591674149 32.4
-37.0390847325325 -75.64447671175 30.3
-70.2970610931516 -117.694007232785 27.6
-316.195747256279 -169.964880496264 35.2
-77.7780551463366 -366.988466866314 43.9
-343.222546577454 -120.687696151435 30.1
-266.811479255557 -89.4018573686481 34.8
303.353136777878 -130.75547106564 34.8
181.754489801824 149.978729151189 37.1
-252.951222099364 399.108170345426 28.3
-315.329439379275 180.516859330237 27.6
373.807039670646 394.144281931221 28.3
-97.6900143548846 378.907521255314 36.1
-105.167699418962 399.539437517524 30.1
333.833015710115 277.320293709636 41.8
309.795628860593 76.9999934360385 39.6
24.6384786441922 115.328607149422 43.9
262.727520242333 -193.302054144442 37.7
-125.838711671531 98.5685655847192 41.6
-99.016347900033 -231.984247639775 41.6
-34.1639349237084 3.14393769949675 31.1
164.904260076582 -250.653524138033 35.2
292.139169573784 -353.28501984477 35.3
138.524727337062 234.015381149948 35.6
-278.558404743671 318.878247588873 33
82.951557263732 388.909772410989 35.2
-266.885072924197 40.8844804391265 35.8
-137.146036140621 -145.295481942594 28.3
218.041546829045 70.1235206797719 43.9
-75.5474561825395 164.876435883343 40.4
248.960350453854 16.9320018962026 40.4
35.5459900572896 -273.24443012476 31.8
374.438325315714 -244.75665781647 34.3
349.805055372417 134.080751426518 35.3
-290.687890909612 -193.261203914881 29.9
39.9062914773822 395.716537162662 32.3
276.049707457423 300.015638209879 31.1
-182.763177715242 8.84851776063442 40.8
-93.64247135818 65.4403043910861 31.8
-334.152866154909 25.2712797373533 37.1
161.345238052309 -45.3096985816956 34.1
385.616040043533 -220.339253544807 38.5
117.624702863395 178.355143778026 32.9
215.750433318317 -30.3545746952295 37.3
250.796107947826 29.3047128245234 36.4
368.144523911178 327.452108077705 39.8
343.825707025826 387.563947960734 30.1
256.060964614153 -72.1401812508702 41.8
-232.349235936999 -250.327106565237 35.2
-176.230499707162 -122.340818867087 52.2
-72.4613979458809 -365.005674958229 35
398.7702652812 303.124563582242 36.1
311.058242246509 99.1504030302167 31.4
178.025838173926 134.90620944649 37.1
-178.059978596866 -37.8323601558805 35.2
27.4568796157837 -255.910955183208 39.7
-291.811538860202 -336.757316812873 38.5
-74.8889038339257 -388.13550863415 27.6
83.4310352802277 168.058371543884 43.8
-214.420606195927 -53.0626690015197 31.2
-0.863838568329811 161.947176605463 34.8
-191.930973529816 -221.990271471441 28.9
-186.465858481824 -314.745664410293 28.9
202.503945492208 -319.122541882098 35.6
161.538993567228 306.791161932051 35.9
-286.434388160706 369.488630443811 40.8
-4.07378003001213 232.389065995812 30.5
196.862597204745 -117.392005585134 30.1
-154.979567229748 -235.052878782153 31.8
-296.679433435202 397.088612429798 35.2
-39.8301627486944 -26.4507446438074 40.8
377.062898874283 205.976986140013 27.4
1.42734851688147 -395.840376056731 41.7
318.681353516877 -105.490107834339 27.7
342.016568593681 -163.765162974596 40.8
74.0850940346718 269.641006737947 27.7
143.646565638483 -88.194383494556 35.8
382.420892082155 241.730333678424 37.7
135.021529905498 -250.774880498648 27.6
386.8717757985 324.188862740993 32.9
-216.026461496949 114.69240244478 33.1
-120.331587642431 198.663879558444 38.5
220.112959481776 -324.856219626963 30.1
-153.786658681929 -75.0811640173197 43.8
368.644730374217 -361.281178705394 36.4
-3.92553862184286 214.661964960396 37.7
46.7530457302928 344.311611540616 28.3
72.5005513057113 210.575935058296 32.4
-41.5431963279843 112.32459358871 30.3
105.119836330414 390.887260250747 39.6
179.477952234447 231.082370318472 37.7
295.711847394705 -175.463696196675 47.3
398.838680610061 -139.322210848331 29.2
216.95143263787 -294.659843109548 34.3
-347.754247486591 -382.610088400543 30.1
-29.9571048468351 -255.661262571812 31.8
192.017238400877 180.037152767181 35.8
398.309292830527 -13.0997976288199 33
-5.66889755427837 161.048745177686 40.4
-368.407219648361 -13.8595590367913 36.1
239.876467734575 -218.694401159883 32.4
-8.35434049367905 351.139527931809 29.2
139.108367450535 -168.723523057997 31.4
-126.069465465844 399.731838516891 35
-131.67476747185 151.093490980566 47.3
245.65913528204 -169.352800026536 52.2
166.87485575676 271.826475858688 41.8
37.9775956273079 -56.3427038490772 30.1
-191.302333213389 -35.7338715344667 35.9
332.900907471776 -396.902338415384 40.8
341.229356080294 44.9619084596634 30.3
-189.310176298022 361.182478070259 38.5
382.122495956719 231.244899146259 35.7
-395.706477202475 27.5482958182693 29.9
-126.000729389489 329.141213931143 30.1
-93.9688904210925 109.196634590626 37.3
-338.396178744733 -302.531475946307 35.6
-280.932654626667 21.9668654724956 35.2
366.694994084537 181.5279757604 34.8
143.426113016903 -13.1392287090421 34.3
