"x","y","DBH"
158.548829561888,399.806111216767,39.827457380644
71.9575307933043,172.548350902127,32.4
305.026686536749,595.984195313871,35.6987686444772
770.284743290782,287.211732106216,41.3962320281193
257.458471879363,496.620441041887,32.9240421925206
248.963821413412,699.143740670974,32.3935929636704
430.615913309157,275.766617432237,34.0530843326356
595.644203821771,33.2958914823939,34.8976010268088
564.909904077649,359.791568294168,41.4703686339781
585.21651700139,725.330607220531,35.2825221865671
729.733833111823,316.735197976232,35.8864866017597
638.648329488933,227.076653204858,48.8383863641415
76.3896713033319,541.293853148818,36.3901325597661
383.294800641904,551.532940175799,30.1130578864366
759.608884875463,525.320245646673,31.8
189.88148458302,579.664965718985,32.3912146024173
101.14315263927,208.591696433723,27.6422630552435
780.919440463185,88.8278810307384,43.4281603216194
508.870995976031,384.387516602874,35.5990907588042
64.7644643526601,87.5802875299233,31.8
380.221935920417,465.951783955097,29.9189044312574
476.92480199039,233.284077420831,39.1176126161823
159.826464019716,424.916437081993,37.7
256.779238022864,243.875444866717,30.3999189050868
120.557828433812,48.5359949991107,29.2254710139241
716.63768235594,334.747144021094,30.1
340.099726989865,449.210948497057,34.7093856079504
452.464085112007,422.109979758648,39.5956901503028
714.880041201395,462.014867795651,38.4611135752872
227.39665158101,142.25156197046,35.780106769898
754.890364555487,3.06962669335669,41.27571838554
255.592995254153,297.518178789354,43.8742024949053
74.1960521719328,337.620793567344,32.9483683000552
615.274322493695,27.0712672259547,35.2435408839723
472.225138587897,631.031771357865,32.1097530636005
708.033334420695,514.399010640248,35.2942399046849
371.781579963863,680.751252546906,30.3049810135271
433.215698567159,475.99529880466,41.705042699771
20.144060999155,643.401818908751,30.0803624537773
309.359209975131,38.7634870533417,27.6862165581202
48.7228978425264,672.685645148158,36.055994689744
750.469824485481,263.297555409372,37.3511380494572
51.1136760935187,372.655975073576,31.2380595446564
452.484205923975,397.40540869534,35.1365091254469
197.216857920548,50.6060019764501,35.628616166953
353.999656252563,486.259147524834,27.9783917159773
671.915200166404,704.395030066371,34.915421126876
72.0741875469685,154.766124486923,36.0303975757677
328.029516525567,169.333140738308,38.5277028937824
12.2002503247618,752.836080459264,28.1959522802848
544.738127942052,161.146042520734,35.8080344689079
110.367140106039,44.0738972402148,31.7905923656188
737.347969925658,684.822154524891,35.9
162.901589920227,231.640242459518,32.9249717304949
617.7593030599,85.1756770653326,31.7645623745397
23.294567130506,576.560226269066,39.8808628814295
390.190078248177,652.258947322141,28.2697258831002
568.375677957272,529.011061651026,41.7381544874981
439.713175789055,665.918461373775,27.2761926459149
506.297363429299,212.885658086621,41.635022630333
632.882298342884,119.082812964916,33.9489268936683
228.855050727725,418.157874792814,34.5096285863314
127.435334026814,250.130456313491,34.3
194.268704695465,283.066748026769,32.3354563967558
265.593240968883,703.073310293257,35.2
430.985862029603,57.2413626816071,36.3215924310032
73.9860879257321,147.839372418821,35.2
659.266002305371,25.6354013999591,32.9726162679261
