"x","y"
64.5246855914593,-313.395819999278
-342.185302451253,314.793313294649
-45.5919248983264,-349.587732739747
-264.207508228719,-179.678641632199
126.166897267103,249.175561405718
371.264644525945,203.486633300781
195.045015402138,399.993573874235
369.010383822024,120.356833748519
-259.912908822298,180.677410215139
375.466455332935,269.703537784517
385.205899737775,283.491909690201
372.69270028919,162.559571303427
262.515367008746,34.3951731920242
281.504523381591,-201.69810000807
337.18526866287,312.014192901552
-290.912611410022,310.768893733621
-325.171967968345,-99.5465341955423
28.7799421697855,295.616908185184
-69.2340487614274,144.68358438462
28.9998630061746,-102.77436953038
156.696599163115,207.798422314227
-361.416709050536,188.823906332254
122.731504403055,-150.422727875412
-167.82327927649,-342.492403835058
355.825622752309,-135.940017923713
-105.044534802437,-315.089971758425
324.322269298136,-230.176273360848
321.164957247674,-325.09841285646
25.8691597729921,239.888851717114
-154.600423946977,32.3546243831515
-253.279862552881,-32.5515484437346
6.50946516543627,-343.449326604605
-277.798849716783,-298.242786154151
112.70759627223,-235.260527767241
146.213956363499,111.703602410853
-242.341947928071,275.176450423896
79.8223383724689,229.335056245327
100.068937987089,-98.1552463024855
243.582115136087,-25.9463552385569
347.320651821792,108.536430448294
33.380863070488,170.956589281559
-333.231857232749,-7.34110381454229
-106.445819325745,-262.795863114297
-120.215044915676,-216.253909096122
-102.572132088244,204.927430860698
-163.842581398785,-127.363294363022
-381.947902217507,-79.5894490554929
-354.814707674086,-227.892839722335
339.006811007857,-223.783067241311
352.316359244287,-338.300031423569
174.541568756104,181.466213800013
320.100222341716,79.2335323989391
130.346481688321,-97.574196010828
106.784331053495,292.153671570122
-266.24424494803,314.929491840303
-274.551042728126,322.608630917966
-95.4977307468653,220.422771200538
-42.751238681376,62.0842484757304
9.91486497223377,39.3546415492892
175.205057486892,-265.062949433923
-367.072046548128,-275.454340688884
36.0976180061698,-349.992806464434
30.1071746274829,-78.0839681625366
87.0057558640838,-303.931826725602
142.001034133136,-167.194756306708
-360.823173448443,-213.725950941443
238.050457276404,-398.395770229399
-48.4064023941755,-21.298641897738
310.507830232382,-143.588385172188
-289.212316647172,209.862861037254
-126.489374041557,-61.2167447805405
223.051197081804,-199.328211694956
-10.9783507883549,183.326567336917
236.089264973998,-162.088214606047
-191.391749493778,-288.662909343839
-372.801707684994,351.099120639265
-96.716926433146,-86.4293795078993
-269.691971316934,376.374524272978
-322.617131844163,-259.646623209119
41.925129853189,17.8555699065328
105.506316572428,-205.818556249142
57.0897921919823,334.149361215532
-325.883032940328,209.969840012491
-166.920998133719,213.931199908257
-53.3169073984027,353.114559128881
-30.5924002081156,-236.915028840303
145.387919060886,-307.041587494314
-312.515839189291,-133.038414269686
162.564549967647,142.092275992036
-230.529806576669,-82.9999871551991
46.4822456240654,-369.630814529955
-173.259261809289,158.288930542767
68.931745365262,-280.991694703698
-369.604791514575,-50.7563125342131
-24.0659091621637,358.6131548509
-120.981751941144,-336.525433324277
398.767177388072,326.825608871877
79.1188599541783,-123.267949558794
-280.545395426452,297.011735290289
-236.996596120298,395.677591115236
-3.60189862549305,217.202489823103
286.182958260179,19.429699704051
-336.832996830344,-362.965374439955
242.653379961848,-247.771801240742
151.967903971672,-377.1719109267
-236.562097258866,47.6008979603648
-199.947366304696,37.3662924394011
-320.310960523784,364.163838513196
